Date,Country,City,Street,Location,Avg Reliability
"May 30, 2022",BR,Curitiba,BR-116 Contorno Leste,Point(-49.272428 -25.555627),10
"May 30, 2022",BR,Curitiba,R. Tijucas do Sul,Point(-49.258906 -25.548372),7
"May 30, 2022",BR,Curitiba,Av. Linha Verde,Point(-49.247332 -25.454683),5
"May 30, 2022",BR,Curitiba,R. Brasílio Itiberê,Point(-49.257929 -25.442826),5
"May 30, 2022",BR,Curitiba,Av. Linha Verde,Point(-49.24384 -25.453514),6
"May 30, 2022",BR,Curitiba,R. Tijucas do Sul,Point(-49.258983 -25.54835),5
"May 30, 2022",BR,Curitiba,BR-116 Contorno Leste,Point(-49.27307 -25.555257),6
"May 30, 2022",BR,Curitiba,R. Amâncio Moro,Point(-49.260859 -25.420754),10
"May 30, 2022",BR,Curitiba,Av. Linha Verde,Point(-49.299319 -25.53039),8
"May 30, 2022",BR,Curitiba,R. Visc. de Nácar,Point(-49.277326 -25.433666),8
"May 30, 2022",BR,São José dos Pinhais,BR-277 Rod. do Café Gov. Ney Braga,Point(-49.171525 -25.492029),10
"May 30, 2022",BR,Curitiba,BR-116 Contorno Leste,Point(-49.273954 -25.554952),7
"May 30, 2022",BR,Curitiba,Al. Ecológica Burle Marx,Point(-49.308837 -25.423389),5
"May 30, 2022",BR,Curitiba,Av. Comendador Franco,Point(-49.240288 -25.457195),10
"May 30, 2022",BR,Curitiba,Al. Ecológica Burle Marx,Point(-49.309509 -25.423628),7
"May 30, 2022",BR,Curitiba,R. Dep. Mário de Barros,Point(-49.266727 -25.412471),8
"May 30, 2022",BR,São José dos Pinhais,Al. Arpo,Point(-49.173558 -25.553946),7
"May 30, 2022",BR,Curitiba,R. Martim Afonso,Point(-49.293599 -25.431913),10
"May 30, 2022",BR,Curitiba,Al. Ecológica Burle Marx,Point(-49.309531 -25.424067),10
"May 30, 2022",BR,Curitiba,Av. Victor Ferreira do Amaral,Point(-49.233291 -25.428086),5
"May 30, 2022",BR,Curitiba,BR-376 Contorno Sul,Point(-49.308897 -25.542442),10
"May 30, 2022",BR,São José dos Pinhais,R. João de Brito,Point(-49.191324 -25.542925),5
"May 30, 2022",BR,Curitiba,Av. Victor Ferreira do Amaral,Point(-49.233454 -25.428067),5
"May 30, 2022",BR,Curitiba,null,Point(-49.317295 -25.53523),5
"May 30, 2022",BR,Colombo,null,Point(-49.190873 -25.389497),7
"May 30, 2022",BR,Curitiba,BR-116 Contorno Leste,Point(-49.272905 -25.555352),10
"May 30, 2022",BR,Curitiba,Av. Pref. Erasto Gaertner,Point(-49.232478 -25.396439),5
"May 30, 2022",BR,Curitiba,BR-116 Contorno Leste,Point(-49.265025 -25.560081),6
"May 30, 2022",BR,Curitiba,Av. Sen. Souza Naves,Point(-49.240724 -25.431925),6
"May 30, 2022",BR,Curitiba,R. Renato Polatti,Point(-49.333456 -25.460973),5
"May 30, 2022",BR,São José dos Pinhais,Av. Rui Barbosa,Point(-49.188687 -25.523391),9
"May 30, 2022",BR,Curitiba,R. Ana Berta Roskamp,Point(-49.226828 -25.453019),6
"May 30, 2022",BR,Curitiba,BR-116 Contorno Leste,Point(-49.274583 -25.554588),10
"May 30, 2022",BR,Curitiba,Av. Ver. Toaldo Túlio,Point(-49.349945 -25.416447),5
