Day,Subtype,# Alerts
"Jan 19, 2022",ACCIDENT_MINOR,23
"Jan 19, 2022",HAZARD_ON_ROAD_POT_HOLE,35
"Jan 19, 2022",,151
"Jan 19, 2022",JAM_MODERATE_TRAFFIC,145
"Jan 19, 2022",HAZARD_ON_ROAD_OBJECT,37
"Jan 19, 2022",JAM_STAND_STILL_TRAFFIC,213
"Jan 19, 2022",HAZARD_ON_ROAD_CAR_STOPPED,189
"Jan 19, 2022",HAZARD_ON_ROAD_CONSTRUCTION,167
"Jan 19, 2022",HAZARD_ON_SHOULDER_CAR_STOPPED,105
"Jan 20, 2022",HAZARD_ON_ROAD_CAR_STOPPED,188
"Jan 20, 2022",HAZARD_ON_SHOULDER_CAR_STOPPED,102
"Jan 20, 2022",JAM_STAND_STILL_TRAFFIC,164
"Jan 20, 2022",HAZARD_ON_ROAD_POT_HOLE,41
"Jan 20, 2022",HAZARD_ON_ROAD_CONSTRUCTION,182
"Jan 20, 2022",,167
"Jan 20, 2022",ACCIDENT_MINOR,26
"Jan 20, 2022",JAM_HEAVY_TRAFFIC,347
"Jan 20, 2022",JAM_MODERATE_TRAFFIC,139
"Jan 20, 2022",HAZARD_ON_ROAD_OBJECT,38
"Jan 21, 2022",ACCIDENT_MINOR,41
"Jan 21, 2022",HAZARD_ON_ROAD_CAR_STOPPED,217
"Jan 21, 2022",JAM_MODERATE_TRAFFIC,150
"Jan 21, 2022",,228
"Jan 21, 2022",HAZARD_ON_ROAD_POT_HOLE,46
"Jan 21, 2022",JAM_STAND_STILL_TRAFFIC,358
"Jan 21, 2022",HAZARD_ON_ROAD_CONSTRUCTION,191
"Jan 21, 2022",HAZARD_ON_SHOULDER_CAR_STOPPED,143
"Jan 21, 2022",HAZARD_ON_ROAD_OBJECT,24
"Jan 21, 2022",JAM_HEAVY_TRAFFIC,466
"Jan 22, 2022",HAZARD_ON_ROAD_OBJECT,15
"Jan 22, 2022",JAM_STAND_STILL_TRAFFIC,36
"Jan 22, 2022",,92
"Jan 22, 2022",HAZARD_ON_ROAD_CAR_STOPPED,92
"Jan 22, 2022",ACCIDENT_MINOR,19
"Jan 22, 2022",JAM_HEAVY_TRAFFIC,71
"Jan 22, 2022",JAM_MODERATE_TRAFFIC,42
"Jan 22, 2022",HAZARD_ON_ROAD_CONSTRUCTION,80
"Jan 22, 2022",HAZARD_ON_ROAD_POT_HOLE,32
"Jan 22, 2022",HAZARD_ON_SHOULDER_CAR_STOPPED,74
"Jan 23, 2022",JAM_STAND_STILL_TRAFFIC,24
"Jan 23, 2022",HAZARD_ON_ROAD_CONSTRUCTION,27
"Jan 23, 2022",HAZARD_ON_SHOULDER_CAR_STOPPED,70
"Jan 23, 2022",,77
"Jan 23, 2022",JAM_HEAVY_TRAFFIC,49
"Jan 23, 2022",ACCIDENT_MINOR,10
"Jan 23, 2022",HAZARD_ON_ROAD_OBJECT,16
"Jan 23, 2022",JAM_MODERATE_TRAFFIC,22
"Jan 23, 2022",HAZARD_ON_ROAD_POT_HOLE,27
"Jan 23, 2022",HAZARD_ON_ROAD_CAR_STOPPED,48
"Jan 24, 2022",HAZARD_ON_ROAD_OBJECT,24
"Jan 24, 2022",HAZARD_ON_ROAD_POT_HOLE,46
"Jan 24, 2022",HAZARD_ON_ROAD_CONSTRUCTION,175
"Jan 24, 2022",,164
"Jan 24, 2022",ACCIDENT_MINOR,30
"Jan 24, 2022",JAM_HEAVY_TRAFFIC,344
"Jan 24, 2022",JAM_MODERATE_TRAFFIC,169
"Jan 24, 2022",JAM_STAND_STILL_TRAFFIC,168
"Jan 24, 2022",HAZARD_ON_ROAD_CAR_STOPPED,177
"Jan 24, 2022",HAZARD_ON_SHOULDER_CAR_STOPPED,138
"Jan 25, 2022",HAZARD_ON_ROAD_CONSTRUCTION,182
"Jan 25, 2022",JAM_STAND_STILL_TRAFFIC,263
"Jan 25, 2022",HAZARD_ON_SHOULDER_CAR_STOPPED,109
"Jan 25, 2022",HAZARD_ON_ROAD_CAR_STOPPED,196
"Jan 25, 2022",,195
"Jan 25, 2022",ACCIDENT_MINOR,30
"Jan 25, 2022",JAM_HEAVY_TRAFFIC,370
"Jan 25, 2022",JAM_MODERATE_TRAFFIC,122
"Jan 25, 2022",HAZARD_ON_ROAD_OBJECT,25
"Jan 25, 2022",HAZARD_ON_ROAD_POT_HOLE,30
"Jan 26, 2022",HAZARD_ON_ROAD_POT_HOLE,32
"Jan 26, 2022",JAM_STAND_STILL_TRAFFIC,189
"Jan 26, 2022",HAZARD_ON_ROAD_CAR_STOPPED,198
"Jan 26, 2022",HAZARD_ON_ROAD_CONSTRUCTION,211
"Jan 26, 2022",HAZARD_ON_ROAD_OBJECT,21
"Jan 26, 2022",HAZARD_ON_SHOULDER_CAR_STOPPED,122
"Jan 26, 2022",,177
"Jan 26, 2022",ACCIDENT_MINOR,27
"Jan 26, 2022",JAM_HEAVY_TRAFFIC,339
"Jan 26, 2022",JAM_MODERATE_TRAFFIC,154
"Jan 27, 2022",JAM_STAND_STILL_TRAFFIC,211
"Jan 27, 2022",HAZARD_ON_ROAD_CONSTRUCTION,188
"Jan 27, 2022",HAZARD_ON_SHOULDER_CAR_STOPPED,131
"Jan 27, 2022",,159
"Jan 27, 2022",JAM_HEAVY_TRAFFIC,407
"Jan 27, 2022",ACCIDENT_MINOR,41
"Jan 27, 2022",HAZARD_ON_ROAD_OBJECT,25
"Jan 27, 2022",JAM_MODERATE_TRAFFIC,136
"Jan 27, 2022",HAZARD_ON_ROAD_POT_HOLE,29
"Jan 27, 2022",HAZARD_ON_ROAD_CAR_STOPPED,179
"Jan 28, 2022",HAZARD_ON_ROAD_CONSTRUCTION,80
"Jan 28, 2022",HAZARD_ON_SHOULDER_CAR_STOPPED,141
"Jan 28, 2022",HAZARD_ON_ROAD_CAR_STOPPED,176
"Jan 28, 2022",,198
"Jan 28, 2022",HAZARD_ON_ROAD_POT_HOLE,33
"Jan 28, 2022",JAM_STAND_STILL_TRAFFIC,319
"Jan 28, 2022",ACCIDENT_MINOR,68
"Jan 28, 2022",JAM_HEAVY_TRAFFIC,630
"Jan 28, 2022",JAM_MODERATE_TRAFFIC,224
"Jan 28, 2022",HAZARD_ON_ROAD_OBJECT,20
"Jan 29, 2022",JAM_HEAVY_TRAFFIC,72
"Jan 29, 2022",HAZARD_ON_ROAD_CAR_STOPPED,82
"Jan 29, 2022",ACCIDENT_MINOR,29
"Jan 29, 2022",HAZARD_ON_ROAD_CONSTRUCTION,35
"Jan 29, 2022",,101
"Jan 29, 2022",HAZARD_ON_SHOULDER_CAR_STOPPED,64
"Jan 29, 2022",JAM_MODERATE_TRAFFIC,41
"Jan 29, 2022",HAZARD_ON_ROAD_OBJECT,16
"Jan 29, 2022",HAZARD_ON_ROAD_POT_HOLE,47
"Jan 29, 2022",JAM_STAND_STILL_TRAFFIC,51
"Jan 30, 2022",,44
"Jan 30, 2022",JAM_HEAVY_TRAFFIC,29
"Jan 30, 2022",HAZARD_ON_ROAD_POT_HOLE,41
"Jan 30, 2022",ACCIDENT_MINOR,7
"Jan 30, 2022",HAZARD_ON_SHOULDER_CAR_STOPPED,54
"Jan 30, 2022",JAM_STAND_STILL_TRAFFIC,9
"Jan 30, 2022",HAZARD_ON_ROAD_CAR_STOPPED,47
"Jan 30, 2022",HAZARD_ON_ROAD_CONSTRUCTION,16
"Jan 30, 2022",JAM_MODERATE_TRAFFIC,20
"Jan 30, 2022",HAZARD_ON_ROAD_OBJECT,7
"Jan 31, 2022",,147
"Jan 31, 2022",HAZARD_ON_ROAD_CAR_STOPPED,228
"Jan 31, 2022",HAZARD_ON_ROAD_CONSTRUCTION,190
"Jan 31, 2022",HAZARD_ON_SHOULDER_CAR_STOPPED,111
"Jan 31, 2022",ACCIDENT_MINOR,28
"Jan 31, 2022",JAM_HEAVY_TRAFFIC,332
"Jan 31, 2022",JAM_MODERATE_TRAFFIC,129
"Jan 31, 2022",HAZARD_ON_ROAD_OBJECT,34
"Jan 31, 2022",HAZARD_ON_ROAD_POT_HOLE,44
"Jan 31, 2022",JAM_STAND_STILL_TRAFFIC,175
